"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"En_179a18b9","stem","Supportive plant structure that bears leaves and can serve as an attachment surface for a chrysalis.","BiologicalStructure","0.86","The caterpillar attaches itself to a leaf or stem and forms a protective shell around itself called a chrysalis.","entity_raw","ClsC_5da5be54","Plant Organs Supporting Metamorphosis Habitat","Biological Structures and Substances in Butterfly Metamorphosis","[""Ch_000004""]","[]"
"En_2f23dc3d","caterpillar spines","Spine-like structures on some caterpillars that serve a protective function.","MorphologicalFeature","0.9","Caterpillars come in a variety of shapes, sizes, and colors, depending on the species. Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves to camouflage themselves from predators.","entity_raw","ClsC_a55194f9","Caterpillar Defensive Morphological Structures","Caterpillar Anti-predator Adaptations","[""Ch_000003""]","[]"
"En_8927b8e0","caterpillar hairs","Hair-like structures on some caterpillars that provide protection.","MorphologicalFeature","0.9","Caterpillars come in a variety of shapes, sizes, and colors, depending on the species. Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves to camouflage themselves from predators.","entity_raw","ClsC_a55194f9","Caterpillar Defensive Morphological Structures","Caterpillar Anti-predator Adaptations","[""Ch_000003""]","[]"
"En_cf864dec","twig mimicry","Caterpillar camouflage strategy where their appearance resembles twigs.","BiologicalAdaptation","0.86","Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves to camouflage themselves from predators. This resemblance to twigs helps them avoid detection.","entity_raw","ClsC_87b56a66","Caterpillar Camouflage Adaptations","Caterpillar Anti-predator Adaptations","[""Ch_000003""]","[]"
"En_7ac357b4","leaf mimicry","Camouflage adaptation where caterpillars resemble leaves to avoid predation.","BiologicalAdaptation","0.86","Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves to camouflage themselves from predators. This leaf-like appearance serves as an effective defense mechanism.","entity_raw","ClsC_87b56a66","Caterpillar Camouflage Adaptations","Caterpillar Anti-predator Adaptations","[""Ch_000003""]","[]"
"En_0223824e","wing fluid","Internal fluid the butterfly pumps into its wings to expand and harden them.","BiologicalSubstance","0.86","The newly emerged butterfly has soft, wrinkled wings that it must pump full of fluid to expand and harden. The reference to fluid indicates a biological substance used to inflate the wings.","entity_raw","ClsC_ba1c425e","Metamorphic Body Fluids and Liquefied Tissues","Biological Structures and Substances in Butterfly Metamorphosis","[""Ch_000005""]","[]"
"En_84110611","soupy substance","Liquid-like mixture formed when the caterpillar’s organs dissolve during metamorphosis.","BiologicalState","0.9","Its organs dissolve into a soupy substance, and new tissues and structures, such as wings and antennae, begin to form. The phrase indicates a liquefied intermediate state of the caterpillar body.","entity_raw","ClsC_ba1c425e","Metamorphic Body Fluids and Liquefied Tissues","Biological Structures and Substances in Butterfly Metamorphosis","[""Ch_000005""]","[]"
"Can_a1cdcba4","egg stage (butterfly life cycle)","The initial life stage of a butterfly, during which the organism exists as an egg laid by a female butterfly on suitable host plants.","LifeStage","0.96","All mentions (egg, egg stage, butterfly egg, eggs) refer to the same biological life stage of butterflies, differing only in phrasing or plurality, so they should be represented as one canonical life-stage entity.","entity_raw","ClsC_b41f496c","Butterfly egg life stage","Butterfly Life Cycle Stages","[""Ch_000001"", ""Ch_000002"", ""Ch_000007""]","[]"
"Can_6b57f2c6","butterfly wings","Paired flight organs of the adult butterfly that form during metamorphosis, initially emerging soft and wrinkled before fully developing for flight.","AnatomicalStructure","0.96","Both mentions refer to the same anatomical flight structures of a butterfly, differing only in developmental stage description.","entity_raw","ClsR_3d560a55","Butterfly Wing Structures","Biological Structures and Substances in Butterfly Metamorphosis","[""Ch_000005"", ""Ch_000006""]","[]"
"En_c7331ad1","soft, wrinkled wings","Initial physical state of a butterfly’s wings right after emerging from the chrysalis.","BiologicalState","0.94","The newly emerged butterfly has soft, wrinkled wings that it must pump full of fluid to expand and harden. This describes the condition of the wings immediately post-emergence.","entity_raw","ClsR_11d8a097","Butterfly Wing Physical States","Biological Structures and Substances in Butterfly Metamorphosis","[""Ch_000005""]","[]"
"En_f45a9343","stages of the butterfly's life cycle","The distinct developmental phases a butterfly passes through from egg to adult.","ProcessPhaseCollection","0.9","In this essay, we will explore the stages of the butterfly's life cycle and the incredible journey it takes to reach adulthood, namely egg, larva, pupa, and adult butterfly.","entity_raw","ClsR_de1cdd20","Butterfly life cycle (stages collection)","Butterfly Life Cycle Stages","[""Ch_000001""]","[]"
"En_f5deceae","newly emerged butterfly","Butterfly immediately after exiting the chrysalis, with soft, wrinkled wings.","OrganismLifeStage","0.92","The fourth and final stage of the butterfly's life cycle is the adult stage. The newly emerged butterfly has soft, wrinkled wings that it must pump full of fluid to expand and harden.","entity_raw","ClsR_f05b402d","Adult butterfly life stage","Butterfly Life Cycle and Development","[""Ch_000005""]","[]"
"Can_0e72203e","adult butterfly life stage","The final, winged life stage of a butterfly following the pupa (chrysalis), during which the organism is fully developed, capable of flight, feeding, mating, and reproduction.","LifeStage","0.97","Both entities describe the same final, mature life stage of a butterfly after metamorphosis, differing only in wording and type-hint; no evidence they represent distinct concepts.","entity_raw","ClsR_f05b402d","Adult butterfly life stage","Butterfly Life Cycle and Development","[""Ch_000001"", ""Ch_000005"", ""Ch_000006"", ""Ch_000007"", ""Ch_000008""]","[]"
"En_f9ea792d","butterfly","Adult stage that the caterpillar develops into after metamorphosis.","OrganismLifeStage","0.97","Inside the chrysalis, the caterpillar undergoes a remarkable transformation known as metamorphosis. During metamorphosis, the caterpillar's body undergoes significant changes as it develops into a butterfly.","entity_raw","ClsR_f05b402d","Adult butterfly life stage","Butterfly Life Cycle and Development","[""Ch_000004""]","[]"
"En_d4c0d528","organs","Internal bodily structures of the caterpillar that dissolve during metamorphosis inside the chrysalis.","BiologicalStructure","0.93","Its organs dissolve into a soupy substance, and new tissues and structures, such as wings and antennae, begin to form. This describes internal caterpillar organs breaking down during metamorphosis.","entity_raw","ClsR_0bd3da69","Internal Metamorphosis Body Structures","Biological Structures and Substances in Butterfly Metamorphosis","[""Ch_000005""]","[]"
"En_f0c16ab3","new tissues and structures","Developing anatomical features that form from dissolved caterpillar material during metamorphosis.","BiologicalStructure","0.9","Its organs dissolve into a soupy substance, and new tissues and structures, such as wings and antennae, begin to form. This refers to the new body parts replacing larval organs during metamorphosis.","entity_raw","ClsR_0bd3da69","Internal Metamorphosis Body Structures","Biological Structures and Substances in Butterfly Metamorphosis","[""Ch_000005""]","[]"
"En_38daabd9","antennae","Sensory appendages of the adult butterfly that form as new structures during metamorphosis.","BiologicalStructure","0.94","Its organs dissolve into a soupy substance, and new tissues and structures, such as wings and antennae, begin to form. This specifies antennae as new adult sensory structures.","entity_raw","ClsR_0bd3da69","Internal Metamorphosis Body Structures","Biological Structures and Substances in Butterfly Metamorphosis","[""Ch_000005""]","[]"
"En_68971f0a","nectar","Sugary liquid produced by flowers that serves as food for adult butterflies.","Substance","0.96","Adult butterflies feed on nectar from flowers using their long, tubular mouthparts called proboscis.","entity_raw","ClsR_627912b2","Butterfly Nectar Food Source","Butterfly Feeding and Nutrition","[""Ch_000006""]","[]"
"En_dbc29b7e","proboscis","Long, tubular mouthpart of adult butterflies used to drink nectar from flowers.","AnatomicalStructure","0.97","Adult butterflies feed on nectar from flowers using their long, tubular mouthparts called proboscis.","entity_raw","ClsR_fd181093","Butterfly Proboscis (Mouthpart)","Butterfly Feeding and Nutrition","[""Ch_000006""]","[]"
"En_1060a171","flight","Butterfly’s ability to fly once its wings are fully developed.","Capability","0.9","Once its wings are fully developed, the butterfly is ready to take flight for the first time.","entity_raw","ClsR_fbd62bb3","Adult butterfly stage properties","Butterfly Life Cycle and Development","[""Ch_000006""]","[]"
"En_fd4b9c19","adult butterfly lifespan","Duration of life of butterflies in the adult stage, typically days to weeks.","OperatingCondition","0.9","Adult butterflies have a relatively short lifespan, ranging from a few days to a few weeks, depending on the species. This describes the characteristic temporal duration of the butterfly’s adult stage.","entity_raw","ClsR_fbd62bb3","Adult butterfly stage properties","Butterfly Life Cycle and Development","[""Ch_000007""]","[]"
"En_9afe46f5","moment of beauty and grace","The state of the butterfly as a fully developed, aesthetically admired adult in flight.","State","0.8","Next time you see a butterfly fluttering by, take a moment to marvel at the incredible journey it has taken to reach that moment of beauty and grace.","entity_raw","ClsR_fbd62bb3","Adult butterfly stage properties","Butterfly Life Cycle and Development","[""Ch_000008""]","[]"
"En_780fa8f4","incredible journey of the butterfly","The full developmental path of a butterfly from egg through larva and pupa to adult.","Process","0.86","Next time you see a butterfly fluttering by, take a moment to marvel at the incredible journey it has taken to reach that moment of beauty and grace.","entity_raw","ClsR_e779b28a","Butterfly life cycle process","Butterfly Life Cycle and Development","[""Ch_000008""]","[]"
"Can_7f9d935a","butterfly life cycle","The complete biological process a butterfly passes through from egg, through larva and pupa, to the adult stage.","BiologicalProcess","0.97","Both entities define the same complete developmental process of butterflies from egg to adult, with identical scope and type-hints.","entity_raw","ClsR_e779b28a","Butterfly life cycle process","Butterfly Life Cycle and Development","[""Ch_000001"", ""Ch_000004"", ""Ch_000006"", ""Ch_000007""]","[]"
"En_7b4a49dc","flowers","Reproductive structures of plants that produce nectar and pollen visited by butterflies.","OrganismPart","0.95","Adult butterflies feed on nectar from flowers using their long, tubular mouthparts called proboscis. They play a crucial role in pollination by transferring pollen from one flower to another, helping plants reproduce.","entity_raw","ClsR_1e9d0076","Flowering plant reproductive structures and organisms","Biological Reproduction Processes","[""Ch_000006""]","[]"
"En_830b9177","pollen","Plant reproductive grains carried by butterflies between flowers during pollination.","BiologicalSubstance","0.96","They play a crucial role in pollination by transferring pollen from one flower to another, helping plants reproduce.","entity_raw","ClsR_1e9d0076","Flowering plant reproductive structures and organisms","Biological Reproduction Processes","[""Ch_000006""]","[]"
"En_0c1d707b","plants","Organisms that produce flowers, nectar, and pollen and depend on pollination to reproduce.","Organism","0.9","They play a crucial role in pollination by transferring pollen from one flower to another, helping plants reproduce.","entity_raw","ClsR_1e9d0076","Flowering plant reproductive structures and organisms","Biological Reproduction Processes","[""Ch_000006""]","[]"
"En_5d8a67f6","mate","Reproductive partner that butterflies seek during the adult stage.","Role","0.9","Throughout their adult stage, butterflies focus on finding a mate and reproducing to continue the life cycle.","entity_raw","ClsR_610ebdc2","Butterfly reproductive mate role","Butterfly Biology and Life Cycle","[""Ch_000006""]","[]"
"En_ab8bd9db","reproducing","Biological process where butterflies produce offspring to continue their species’ life cycle.","BiologicalProcess","0.95","Throughout their adult stage, butterflies focus on finding a mate and reproducing to continue the life cycle.","entity_raw","ClsR_2a20cb5a","Butterfly reproduction process","Biological Reproduction Processes","[""Ch_000006""]","[]"
"En_8e017cbc","birds","Vertebrate animals that can prey on butterflies as a food source.","Organism","0.95","Butterflies also serve as a food source for birds, reptiles, and other insects, contributing to the overall biodiversity of their ecosystem.","entity_raw","ClsR_456c8b15","Butterfly Predators and Prey Role","Butterfly Ecology, Habitat, and Food Web","[""Ch_000006""]","[]"
"En_8b2459ca","reptiles","Cold-blooded vertebrates that may consume butterflies as part of their diet.","Organism","0.95","Butterflies also serve as a food source for birds, reptiles, and other insects, contributing to the overall biodiversity of their ecosystem.","entity_raw","ClsR_456c8b15","Butterfly Predators and Prey Role","Butterfly Ecology, Habitat, and Food Web","[""Ch_000006""]","[]"
"En_2f1262d6","other insects","Non-butterfly insects that use butterflies as prey within the ecosystem food web.","OrganismGroup","0.92","Butterflies also serve as a food source for birds, reptiles, and other insects, contributing to the overall biodiversity of their ecosystem.","entity_raw","ClsR_456c8b15","Butterfly Predators and Prey Role","Butterfly Ecology, Habitat, and Food Web","[""Ch_000006""]","[]"
"En_4eeeef3a","food source","Role of butterflies as prey providing nourishment to birds, reptiles, and other insects.","EcologicalRole","0.9","Butterflies also serve as a food source for birds, reptiles, and other insects, contributing to the overall biodiversity of their ecosystem.","entity_raw","ClsR_456c8b15","Butterfly Predators and Prey Role","Butterfly Ecology, Habitat, and Food Web","[""Ch_000006""]","[]"
"En_53a03385","predators of caterpillars","Animals that prey upon caterpillars, driving their need for camouflage and protection.","OrganismGroup","0.8","Some caterpillars have spines or hairs for protection, while others mimic the appearance of twigs or leaves to camouflage themselves from predators. The presence of predators influences the evolution of these defensive traits in caterpillars.","entity_raw","ClsR_456c8b15","Butterfly Predators and Prey Role","Butterfly Ecology, Habitat, and Food Web","[""Ch_000003""]","[]"
"En_d9bb99dd","predators of butterfly eggs","Organisms that might consume or harm butterfly eggs, prompting eggs to be laid on leaf undersides.","OrganismGroup","0.82","The eggs are usually laid on the underside of leaves to protect them from predators.","entity_raw","ClsR_456c8b15","Butterfly Predators and Prey Role","Butterfly Ecology, Habitat, and Food Web","[""Ch_000002""]","[]"
"Can_1b3d39f7","butterfly species","Different kinds of butterflies (species-level categories) whose distinct traits influence egg characteristics, metamorphosis duration, and adult lifespan.","BiologicalCategory","0.9","All three mentions refer generically to different species of butterflies and how species-level differences affect traits across the butterfly life cycle, without specifying any particular taxon.","entity_raw","ClsR_16b46bdf","Butterfly species (taxonomic categories)","Butterfly Biology and Life Cycle","[""Ch_000002"", ""Ch_000005"", ""Ch_000007""]","[]"
"Can_14766c36","chrysalis","Protective pupa casing formed by a caterpillar during the pupal stage, enclosing it as it undergoes metamorphosis into a butterfly.","BiologicalStructure","0.98","Both mentions describe the same butterfly life-stage structure: the protective casing formed by the caterpillar and from which the adult butterfly emerges.","entity_raw","ClsR_d7bc4e07","Chrysalis (Pupal Casing)","Biological Structures and Substances in Butterfly Metamorphosis","[""Ch_000004"", ""Ch_000005""]","[]"
"Can_d81ff7bc","butterflies","Insects that undergo complete metamorphosis through egg, larval, pupal, and adult stages.","Organism","0.97","Both mentions refer generically to butterflies as insects undergoing complete metamorphosis in the same life-cycle context, with no distinguishing features suggesting different concepts.","entity_raw","ClsR_34648e10","Butterflies (individual organisms, general)","Butterfly Biology and Life Cycle","[""Ch_000001"", ""Ch_000007""]","[]"
"Can_36b8bc0d","female butterflies","Adult female butterflies that lay eggs on specific host plants, initiating the butterfly life cycle.","Organism","0.96","Both mentions describe reproductively mature female butterflies laying eggs on host plants, with identical role and context in the butterfly life cycle.","entity_raw","ClsR_ed4b5a56","Female butterflies (adult females)","Butterfly Biology and Life Cycle","[""Ch_000001"", ""Ch_000007""]","[]"
"Can_de817465","host plants","Specific plant species used by butterflies as oviposition sites and as food sources for emerging larvae.","Environment","0.94","Both refer to the same concept of plants serving as egg-laying sites and larval food sources for butterflies in the life cycle context.","entity_raw","ClsR_ed84e099","Butterfly Host Plants and Larval Resources","Butterfly Ecology, Habitat, and Food Web","[""Ch_000001"", ""Ch_000007""]","[]"
"Can_989a53ee","pollination","Biological process in which pollen is transferred between flowers, often by organisms, enabling plant reproduction and helping maintain plant populations.","BiologicalProcess","0.97","Both mentions refer to the same biological/ecological process of transferring pollen to enable plant reproduction; the type hints differ slightly but describe the same concept.","entity_raw","ClsR_2188ac11","Pollination in flowering plants","Biological Reproduction Processes","[""Ch_000003"", ""Ch_000006""]","[]"
"En_a552e15f","molting","Biological process where caterpillars shed their skin multiple times as they grow.","BiologicalProcess","0.98","They shed their skin several times as they grow, a process known as molting. Each time they molt, they reveal a new, larger skin underneath. This repeated shedding of skin is characteristic of the caterpillar growth stage.","entity_raw","ClsR_d5367cdc","Butterfly Molting Process","Butterfly Life Cycle and Development","[""Ch_000003""]","[]"
"En_39d95774","metamorphosis","Transformation process where a caterpillar changes into a butterfly inside the chrysalis.","BiologicalProcess","0.99","Inside the chrysalis, the caterpillar undergoes a remarkable transformation known as metamorphosis. During metamorphosis, the caterpillar's body undergoes significant changes as it develops into a butterfly.","entity_raw","ClsR_f0eb372f","Butterfly Metamorphosis Process","Butterfly Life Cycle and Development","[""Ch_000004""]","[]"
