"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"En_68423e43","fibers","Small strands from materials like textiles that can serve as trace evidence in investigations.","EvidenceItem","0.94","For example, forensic scientists may use scanning electron microscopes to examine trace evidence such as fibers or hair, or they may use mass spectrometry to identify and quantify drugs or toxins in a sample.","entity_raw","ClsC_31bea111","Trace Evidence","Forensic Evidence","[""Ch_000003""]","[]"
"En_4917bd86","hair","Human or animal hair strands that can function as trace evidence in forensic analysis.","EvidenceItem","0.94","For example, forensic scientists may use scanning electron microscopes to examine trace evidence such as fibers or hair, or they may use mass spectrometry to identify and quantify drugs or toxins in a sample.","entity_raw","ClsC_31bea111","Trace Evidence","Forensic Evidence","[""Ch_000003""]","[]"
"En_f977df28","drugs","Chemical substances, often controlled, whose presence and quantity in samples are analyzed for investigations.","Substance","0.93","For example, forensic scientists may use scanning electron microscopes to examine trace evidence such as fibers or hair, or they may use mass spectrometry to identify and quantify drugs or toxins in a sample.","entity_raw","ClsC_5aa13a59","Forensic Target Substances","Forensic Analytical Science","[""Ch_000003""]","[]"
"En_a8cf2268","toxins","Poisonous chemical substances that forensic scientists detect and measure in investigative samples.","Substance","0.93","For example, forensic scientists may use scanning electron microscopes to examine trace evidence such as fibers or hair, or they may use mass spectrometry to identify and quantify drugs or toxins in a sample.","entity_raw","ClsC_5aa13a59","Forensic Target Substances","Forensic Analytical Science","[""Ch_000003""]","[]"
"En_b7302d47","biology","Scientific discipline used in forensic science to analyze biological aspects of evidence.","ScientificDiscipline","0.96","The art of forensic science combines various scientific disciplines such as biology, chemistry, physics, and mathematics to analyze physical evidence and draw conclusions that can be presented in court.","entity_raw","ClsC_fb11c8f2","Forensic Science Disciplines","Forensic Science Domain","[""Ch_000001""]","[]"
"En_0c845562","chemistry","Scientific discipline used in forensic science to study chemical properties of evidence.","ScientificDiscipline","0.96","The art of forensic science combines various scientific disciplines such as biology, chemistry, physics, and mathematics to analyze physical evidence and draw conclusions that can be presented in court.","entity_raw","ClsC_fb11c8f2","Forensic Science Disciplines","Forensic Science Domain","[""Ch_000001""]","[]"
"En_5ac9c136","physics","Scientific discipline contributing analytical methods to forensic science.","ScientificDiscipline","0.96","The art of forensic science combines various scientific disciplines such as biology, chemistry, physics, and mathematics to analyze physical evidence and draw conclusions that can be presented in court.","entity_raw","ClsC_fb11c8f2","Forensic Science Disciplines","Forensic Science Domain","[""Ch_000001""]","[]"
"En_c71a7eb3","mathematics","Scientific discipline used in forensic science, for example in statistics and pattern analysis.","ScientificDiscipline","0.95","The art of forensic science combines various scientific disciplines such as biology, chemistry, physics, and mathematics to analyze physical evidence and draw conclusions that can be presented in court.","entity_raw","ClsC_fb11c8f2","Forensic Science Disciplines","Forensic Science Domain","[""Ch_000001""]","[]"
"En_49410034","complex puzzles","Challenging investigative problems that forensic scientists work to resolve.","ProblemType","0.86","They must also be able to think creatively and analytically, often working under pressure to solve complex puzzles and uncover hidden clues that may be crucial to a case.","entity_raw","ClsC_7d3800f0","Investigative Analysis Elements","Forensic Reasoning and Case Analysis","[""Ch_000005""]","[]"
"En_d4105ccc","hidden clues","Subtle or non-obvious indicators in evidence that may be important for a case.","EvidenceFeature","0.9","They must also be able to think creatively and analytically, often working under pressure to solve complex puzzles and uncover hidden clues that may be crucial to a case.","entity_raw","ClsC_7d3800f0","Investigative Analysis Elements","Forensic Reasoning and Case Analysis","[""Ch_000005""]","[]"
"En_b6c9b728","legal issues","Legal disputes or questions addressed using forensic scientific evidence.","LegalConcept","0.9","Forensic science is the application of scientific methods and techniques to solve crimes and legal issues. It plays a crucial role in the criminal justice system by providing valuable evidence that helps in the investigation and prosecution of crimes.","entity_raw","ClsC_b4988c0e","Forensic Cases and Issues","Forensic Reasoning and Case Analysis","[""Ch_000001""]","[]"
"En_abad232f","case","Individual investigative or legal matter that forensic work contributes to resolving.","LegalCase","0.9","They must also be able to think creatively and analytically, often working under pressure to solve complex puzzles and uncover hidden clues that may be crucial to a case.","entity_raw","ClsC_b4988c0e","Forensic Cases and Issues","Forensic Reasoning and Case Analysis","[""Ch_000005""]","[]"
"En_93fb6b9e","truth behind challenging cases","The factual sequence of events and circumstances in difficult forensic investigations.","Concept","0.83","By combining scientific principles with investigative techniques, forensic scientists are able to uncover the truth behind even the most challenging cases.","entity_raw","ClsC_b4988c0e","Forensic Cases and Issues","Forensic Reasoning and Case Analysis","[""Ch_000006""]","[]"
"En_68c01b1e","challenging cases","Difficult forensic or criminal investigations requiring advanced analysis and techniques.","Case","0.9","By combining scientific principles with investigative techniques, forensic scientists are able to uncover the truth behind even the most challenging cases.","entity_raw","ClsC_b4988c0e","Forensic Cases and Issues","Forensic Reasoning and Case Analysis","[""Ch_000006""]","[]"
"En_75e070f1","scientific methods and techniques","Systematic methods and technical procedures used within forensic science to analyze evidence.","Method","0.9","Forensic science is the application of scientific methods and techniques to solve crimes and legal issues. The art of forensic science combines various scientific disciplines such as biology, chemistry, physics, and mathematics to analyze physical evidence and draw conclusions that can be presented in court.","entity_raw","ClsC_4eb6a666","Forensic Science Foundations","Forensic Science Domain","[""Ch_000001""]","[]"
"En_878f93b0","scientific principles","Foundational scientific concepts and laws applied within forensic science investigations.","Concept","0.93","By combining scientific principles with investigative techniques, forensic scientists are able to uncover the truth behind even the most challenging cases.","entity_raw","ClsC_4eb6a666","Forensic Science Foundations","Forensic Science Domain","[""Ch_000006""]","[]"
"En_65fff597","investigative techniques","Methods and procedures used to investigate and analyze evidence in forensic cases.","Method","0.94","By combining scientific principles with investigative techniques, forensic scientists are able to uncover the truth behind even the most challenging cases.","entity_raw","ClsC_4eb6a666","Forensic Science Foundations","Forensic Science Domain","[""Ch_000006""]","[]"
"Can_8fe88d36","crime","Unlawful acts that forensic science helps to investigate, reconstruct, and address within the criminal justice system.","EventType","0.95","Both mentions refer to the same generic concept of unlawful acts investigated by forensic science, differing only in plurality and minor wording.","entity_raw","ClsC_534a2eda","Crime Events","Criminal Justice & Forensic Context","[""Ch_000001"", ""Ch_000004"", ""Ch_000005""]","[]"
"En_6188cf2f","events that took place","The actual occurrences at or around the time of the crime that forensic scientists seek to reconstruct.","EventSequence","0.86","By meticulously documenting the details of a crime scene and collecting all relevant evidence, forensic scientists can reconstruct the events that took place and help investigators piece together the sequence of events leading up to a crime.","entity_raw","ClsC_534a2eda","Crime Events","Criminal Justice & Forensic Context","[""Ch_000004""]","[]"
"En_18a1ef71","sequence of events leading up to a crime","Ordered chain of actions and occurrences culminating in the commission of a crime.","EventSequence","0.9","By meticulously documenting the details of a crime scene and collecting all relevant evidence, forensic scientists can reconstruct the events that took place and help investigators piece together the sequence of events leading up to a crime.","entity_raw","ClsC_534a2eda","Crime Events","Criminal Justice & Forensic Context","[""Ch_000004""]","[]"
"En_f1d01ab0","criminal justice system","The system of law enforcement, courts, and corrections that administers criminal law and justice.","System","0.92","It plays a crucial role in the criminal justice system by providing valuable evidence that helps in the investigation and prosecution of crimes.","entity_raw","ClsC_4ced50fb","Criminal Justice Processes","Criminal Justice & Forensic Context","[""Ch_000001""]","[]"
"En_5e2b0546","investigation of crimes","Process of examining crimes where forensic science provides valuable evidence.","Process","0.88","It plays a crucial role in the criminal justice system by providing valuable evidence that helps in the investigation and prosecution of crimes.","entity_raw","ClsC_4ced50fb","Criminal Justice Processes","Criminal Justice & Forensic Context","[""Ch_000001""]","[]"
"En_f08e378d","prosecution of crimes","Legal process of bringing criminal charges, supported by forensic evidence.","Process","0.9","It plays a crucial role in the criminal justice system by providing valuable evidence that helps in the investigation and prosecution of crimes.","entity_raw","ClsC_4ced50fb","Criminal Justice Processes","Criminal Justice & Forensic Context","[""Ch_000001""]","[]"
"En_fdee3195","injustice","Unfair or wrongful outcomes that forensic science aims to help correct or prevent.","SocialCondition","0.9","In conclusion, the art of forensic science is a powerful tool in the fight against crime and injustice.","entity_raw","ClsC_ae0fbac3","Justice Outcomes","Criminal Justice & Forensic Context","[""Ch_000005""]","[]"
"En_9b7f4724","justice","The legal and moral outcome where appropriate consequences are applied based on evidence.","Concept","0.9","Their work plays a crucial role in ensuring that justice is served and that the guilty are held accountable for their actions.","entity_raw","ClsC_ae0fbac3","Justice Outcomes","Criminal Justice & Forensic Context","[""Ch_000006""]","[]"
"En_0cb018f4","actions of guilty individuals","Behavior or conduct of offenders that is evaluated within forensic and legal processes.","Event","0.78","Their work plays a crucial role in ensuring that justice is served and that the guilty are held accountable for their actions.","entity_raw","ClsC_391dde95","Offender Behavior","Criminal Justice & Forensic Context","[""Ch_000006""]","[]"
"En_cdb930c3","forensic analysis","Scientific examination and interpretation of evidence using forensic methods and technologies.","Process","0.95","These technological advancements have greatly improved the accuracy and reliability of forensic analysis, making it an indispensable tool in modern criminal investigations.","entity_raw","ClsC_33a2d4c8","Forensic Analysis Processes","Forensic Science & Analysis","[""Ch_000003""]","[]"
"En_25d49791","forensic evidence analysis process","Ordered sequence of steps forensic scientists follow when examining and processing forensic evidence.","Process","0.9","Forensic scientists must be meticulous in their work, carefully documenting every step of the analysis process and ensuring that all evidence is handled and processed in a controlled and consistent manner.","entity_raw","ClsC_33a2d4c8","Forensic Analysis Processes","Forensic Science & Analysis","[""Ch_000005""]","[]"
"En_a24a6192","accuracy of forensic analysis","Degree to which forensic examination results correctly reflect the true state of evidence.","QualityMetric","0.86","These technological advancements have greatly improved the accuracy and reliability of forensic analysis, making it an indispensable tool in modern criminal investigations.","entity_raw","ClsC_446a0581","Forensic Analysis Quality Metrics","Forensic Science & Analysis","[""Ch_000003""]","[]"
"En_c18d8a5f","reliability of forensic analysis","Consistency and dependability of forensic examination results across repeated analyses.","QualityMetric","0.86","These technological advancements have greatly improved the accuracy and reliability of forensic analysis, making it an indispensable tool in modern criminal investigations.","entity_raw","ClsC_446a0581","Forensic Analysis Quality Metrics","Forensic Science & Analysis","[""Ch_000003""]","[]"
"En_11f15c4e","new techniques","Emerging methods and procedures developed to improve forensic analysis and investigation.","Method","0.92","As technology continues to advance and new techniques are developed, the art of forensic science will only become more sophisticated and effective in the years to come.","entity_raw","ClsC_7c0c277a","Forensic Science Practice","Forensic Science Domain","[""Ch_000006""]","[]"
"En_4cf2a808","art of forensic science","Conceptual view of forensic science as a disciplined, skillful practice combining technique and careful thought.","Concept","0.94","The art of forensic science requires not only technical expertise but also critical thinking skills and attention to detail. In conclusion, the art of forensic science is a powerful tool in the fight against crime and injustice.","entity_raw","ClsC_1e747357","Forensic Practice Competence","Forensic Science Professional Competencies","[""Ch_000005""]","[]"
"En_b46e3404","technical expertise","Specialized scientific and procedural knowledge required to conduct forensic analysis effectively.","Skill","0.93","The art of forensic science requires not only technical expertise but also critical thinking skills and attention to detail.","entity_raw","ClsC_1e747357","Forensic Practice Competence","Forensic Science Professional Competencies","[""Ch_000005""]","[]"
"En_071a2ab0","art of forensic science","The combined practice, methodology, and skill involved in conducting forensic science.","Concept","0.95","As technology continues to advance and new techniques are developed, the art of forensic science will only become more sophisticated and effective in the years to come.","entity_raw","ClsC_1e747357","Forensic Practice Competence","Forensic Science Professional Competencies","[""Ch_000006""]","[]"
"En_c1473e8b","critical thinking skills","Ability to reason logically and evaluate evidence when performing forensic work.","Skill","0.96","The art of forensic science requires not only technical expertise but also critical thinking skills and attention to detail.","entity_raw","ClsC_ea74adb2","Forensic Cognitive Skills","Forensic Science Professional Competencies","[""Ch_000005""]","[]"
"En_1d4c091c","attention to detail","Careful focus on small but important aspects of evidence and procedures in forensic work.","Skill","0.96","The art of forensic science requires not only technical expertise but also critical thinking skills and attention to detail.","entity_raw","ClsC_ea74adb2","Forensic Cognitive Skills","Forensic Science Professional Competencies","[""Ch_000005""]","[]"
"En_fe1e3b10","interpretation of evidence","Process of analyzing and drawing meaning from collected forensic evidence.","Process","0.96","Another important aspect of forensic science is the interpretation of evidence and the presentation of findings in court.","entity_raw","ClsC_7a2d35c7","Forensic Analytical Reasoning","Forensic Reasoning and Case Analysis","[""Ch_000004""]","[]"
"En_f9e892bb","logical conclusions","Reasoned inferences derived from forensic data and evidence analysis.","Inference","0.88","Forensic scientists must be able to analyze complex data and draw logical conclusions based on the evidence available to them.","entity_raw","ClsC_7a2d35c7","Forensic Analytical Reasoning","Forensic Reasoning and Case Analysis","[""Ch_000004""]","[]"
"En_b0c08135","analysis and conclusions","Forensic scientists’ interpretive work and the final inferences derived from evidence.","Result","0.9","They must also be able to communicate their findings effectively to law enforcement agencies, lawyers, and judges, often testifying as expert witnesses in court to explain their analysis and conclusions.","entity_raw","ClsC_7a2d35c7","Forensic Analytical Reasoning","Forensic Reasoning and Case Analysis","[""Ch_000004""]","[]"
"En_15d2ca12","presentation of findings","Communication of forensic analytical results, particularly in legal or courtroom settings.","Process","0.95","Another important aspect of forensic science is the interpretation of evidence and the presentation of findings in court.","entity_raw","ClsC_8caba5b7","Forensic Findings Communication","Forensic Reasoning and Case Analysis","[""Ch_000004""]","[]"
"En_eb13e80d","identity of a suspect","Determination of who a suspected individual is based on forensic evidence.","InvestigativeOutcome","0.93","By examining the physical characteristics of the evidence, forensic scientists can determine important details such as the identity of a suspect, the cause of death, or the presence of a particular substance at a crime scene.","entity_raw","ClsC_d0efec71","Forensic Determinations","Forensic Reasoning and Case Analysis","[""Ch_000002""]","[]"
"En_28bad9ab","cause of death","Medical or physical reason a person died, inferred through forensic analysis.","InvestigativeOutcome","0.96","By examining the physical characteristics of the evidence, forensic scientists can determine important details such as the identity of a suspect, the cause of death, or the presence of a particular substance at a crime scene.","entity_raw","ClsC_d0efec71","Forensic Determinations","Forensic Reasoning and Case Analysis","[""Ch_000002""]","[]"
"En_8728898f","presence of a particular substance","Detection that a specific chemical or material exists in a forensic sample or location.","InvestigativeOutcome","0.9","By examining the physical characteristics of the evidence, forensic scientists can determine important details such as the identity of a suspect, the cause of death, or the presence of a particular substance at a crime scene.","entity_raw","ClsC_d0efec71","Forensic Determinations","Forensic Reasoning and Case Analysis","[""Ch_000002""]","[]"
"En_70a019bd","collection of physical evidence","Process of gathering physical evidence, identified as a key aspect of forensic science.","Process","0.9","One of the key aspects of forensic science is the collection and analysis of physical evidence.","entity_raw","ClsC_fba314c4","Physical Evidence Handling","Forensic Evidence & Crime Scene Procedures","[""Ch_000001""]","[]"
"En_6ed9a385","analysis of physical evidence","Examination and evaluation of physical evidence to draw conclusions in forensic science.","Process","0.94","The art of forensic science combines various scientific disciplines such as biology, chemistry, physics, and mathematics to analyze physical evidence and draw conclusions that can be presented in court. One of the key aspects of forensic science is the collection and analysis of physical evidence.","entity_raw","ClsC_fba314c4","Physical Evidence Handling","Forensic Evidence & Crime Scene Procedures","[""Ch_000001""]","[]"
"Can_0825e2f0","evidence","Physical or digital items and materials collected and handled in forensic investigations for documentation, preservation, and examination.","Evidence","0.96","Both entities describe the same forensic concept of crime-scene and investigation materials called 'evidence', differing only slightly in scope and type_hint.","entity_raw","ClsC_0ff3c834","General Forensic Evidence","Forensic Evidence","[""Ch_000002"", ""Ch_000003"", ""Ch_000004"", ""Ch_000005""]","[]"
"En_f1ee7eff","scanning electron microscopes","High-resolution microscopes that use electron beams to examine the surface and structure of trace evidence.","Instrument","0.98","For example, forensic scientists may use scanning electron microscopes to examine trace evidence such as fibers or hair, or they may use mass spectrometry to identify and quantify drugs or toxins in a sample.","entity_raw","ClsC_7757ff1e","Analytical Instruments","Forensic Analytical Science","[""Ch_000003""]","[]"
"En_322fdd51","sample","A collected portion of material, such as biological or chemical matter, analyzed for drugs or toxins.","Specimen","0.9","For example, forensic scientists may use scanning electron microscopes to examine trace evidence such as fibers or hair, or they may use mass spectrometry to identify and quantify drugs or toxins in a sample.","entity_raw","ClsC_19ce2396","Forensic Samples","Forensic Evidence","[""Ch_000003""]","[]"
"En_282ae4c4","DNA samples","Biological material containing genetic information collected for forensic identification.","EvidenceType","0.98","This evidence can range from fingerprints and DNA samples to firearms and tool marks. Forensic scientists use a variety of techniques to collect and analyze this evidence, including microscopy, spectroscopy, chromatography, and DNA profiling.","entity_raw","ClsC_19ce2396","Forensic Samples","Forensic Evidence","[""Ch_000002""]","[]"
"Can_abd0142e","court","Judicial setting where legal proceedings occur and forensic evidence and findings may be presented.","Location","0.97","Both mentions of 'court' refer to the same generic judicial setting in which forensic evidence and findings are presented.","entity_raw","ClsC_93bf8b73","Forensic Context Locations","Forensic Context & Locations","[""Ch_000001"", ""Ch_000004""]","[]"
"Can_14b4e708","crime scene","Location where a crime took place and where forensic evidence is documented, preserved, and collected for analysis.","Location","0.98","All three refer to the same general concept of the physical location where a crime occurred and evidence is handled, differing only in wording.","entity_raw","ClsC_93bf8b73","Forensic Context Locations","Forensic Context & Locations","[""Ch_000002"", ""Ch_000003"", ""Ch_000004""]","[]"
"En_c07e74f8","instrumentation","Specialized scientific instruments employed in the laboratory analysis of forensic evidence.","ToolCategory","0.9","Forensic science also involves the use of advanced technology and instrumentation to aid in the analysis of evidence.","entity_raw","ClsC_625e17dd","Forensic Technology","Forensic Science Domain","[""Ch_000002""]","[]"
"Can_1b5b3813","forensic technology and technological advancements","Tools, systems, and ongoing technological advancements that support and enhance forensic science analysis and practice.","AbstractConcept","0.9","All three refer to the same general idea of technology and its advancements in the context of forensic science, without distinguishing specific tools or instances.","entity_raw","ClsC_625e17dd","Forensic Technology","Forensic Science Domain","[""Ch_000002"", ""Ch_000003"", ""Ch_000006""]","[]"
"Can_8625e1a7","forensic science","Interdisciplinary field that applies scientific methods, analysis, and technology to collect, analyze, interpret, and present evidence in criminal and legal investigations.","FieldOfStudy","0.98","All four mentions describe the same discipline applying scientific methods to legal/criminal investigations, differing only in wording and type granularity.","entity_raw","ClsC_4d3760cc","Forensic Science","Forensic Science Domain","[""Ch_000001"", ""Ch_000002"", ""Ch_000004"", ""Ch_000005""]","[]"
"Can_d2a80ca3","forensic scientists","Professionals who apply scientific methods and technologies to collect, analyze, interpret, and present evidence in criminal and forensic investigations, often assisting crime scene work and court proceedings.","Actor","0.99","All five mentions refer to the same general profession of forensic science practitioners, with identical naming and overlapping role descriptions in crime and evidence analysis.","entity_raw","ClsC_78757d11","Forensic Scientists","Forensic Science Domain","[""Ch_000002"", ""Ch_000003"", ""Ch_000004"", ""Ch_000005"", ""Ch_000006""]","[]"
"En_55ddebff","complex data","Detailed, multifaceted forensic information that scientists analyze to reach conclusions.","Data","0.9","Forensic scientists must be able to analyze complex data and draw logical conclusions based on the evidence available to them.","entity_raw","ClsC_5ea50982","Complex Data","Forensic Reasoning and Case Analysis","[""Ch_000004""]","[]"
"En_1c844c25","years to come","An upcoming time period in which forensic science is expected to become more sophisticated and effective.","TimePeriod","0.7","As technology continues to advance and new techniques are developed, the art of forensic science will only become more sophisticated and effective in the years to come.","entity_raw","ClsC_c072326d","Future Time Period","Temporal References","[""Ch_000006""]","[]"
"En_12608f56","law enforcement agencies","Organizations responsible for enforcing laws, receiving forensic findings and interpretations.","Organization","0.97","They must also be able to communicate their findings effectively to law enforcement agencies, lawyers, and judges, often testifying as expert witnesses in court to explain their analysis and conclusions.","entity_raw","ClsR_d9764040","Criminal Justice Participants","Criminal Justice & Forensic Context","[""Ch_000004""]","[]"
"En_6f6b31dd","lawyers","Legal professionals who use forensic findings in litigation and courtroom proceedings.","Actor","0.97","They must also be able to communicate their findings effectively to law enforcement agencies, lawyers, and judges, often testifying as expert witnesses in court to explain their analysis and conclusions.","entity_raw","ClsR_d9764040","Criminal Justice Participants","Criminal Justice & Forensic Context","[""Ch_000004""]","[]"
"En_4ae4f857","judges","Judicial officers who hear forensic expert testimony and evaluate presented evidence.","Actor","0.97","They must also be able to communicate their findings effectively to law enforcement agencies, lawyers, and judges, often testifying as expert witnesses in court to explain their analysis and conclusions.","entity_raw","ClsR_d9764040","Criminal Justice Participants","Criminal Justice & Forensic Context","[""Ch_000004""]","[]"
"En_a3725e42","expert witnesses","Forensic specialists testifying in court to explain analyses and conclusions.","Role","0.96","They must also be able to communicate their findings effectively to law enforcement agencies, lawyers, and judges, often testifying as expert witnesses in court to explain their analysis and conclusions.","entity_raw","ClsR_d9764040","Criminal Justice Participants","Criminal Justice & Forensic Context","[""Ch_000004""]","[]"
"En_9881e4b9","investigators","Individuals responsible for investigating crimes, assisted by forensic reconstructions and evidence.","Actor","0.94","By meticulously documenting the details of a crime scene and collecting all relevant evidence, forensic scientists can reconstruct the events that took place and help investigators piece together the sequence of events leading up to a crime.","entity_raw","ClsR_d9764040","Criminal Justice Participants","Criminal Justice & Forensic Context","[""Ch_000004""]","[]"
"En_b75ca601","guilty individuals","Persons found responsible for crimes who are subject to accountability.","Actor","0.86","Their work plays a crucial role in ensuring that justice is served and that the guilty are held accountable for their actions.","entity_raw","ClsR_d9764040","Criminal Justice Participants","Criminal Justice & Forensic Context","[""Ch_000006""]","[]"
"En_38bdfca8","modern criminal investigations","Contemporary investigative processes used by law enforcement to solve crimes.","Process","0.9","These technological advancements have greatly improved the accuracy and reliability of forensic analysis, making it an indispensable tool in modern criminal investigations.","entity_raw","ClsR_2f7eda30","Criminal Investigation Processes","TBD","[""Ch_000003""]","[]"
"En_53107a37","crime scene investigation","Process of examining crime scenes to document conditions and collect evidence.","Process","0.97","In addition to analyzing physical evidence, forensic scientists also play a crucial role in crime scene investigation. They are responsible for documenting and preserving the integrity of the crime scene, as well as collecting and cataloging evidence for further analysis.","entity_raw","ClsR_c096d01b","Crime Scene Investigation","Forensic Evidence & Crime Scene Procedures","[""Ch_000003""]","[]"
"En_b660dbfb","crime scene integrity","Condition of a crime scene remaining uncontaminated and unchanged during investigation.","State","0.88","They are responsible for documenting and preserving the integrity of the crime scene, as well as collecting and cataloging evidence for further analysis.","entity_raw","ClsR_daf28fe3","Crime Scene Integrity","Forensic Evidence & Crime Scene Procedures","[""Ch_000003""]","[]"
